,Country,Year,Population,GDP/capita,CO2 emissions tonnes/person
0,Australia,1800,351014,815,
1,Bahrain,1800,64474,1235,
2,China,1800,321675013,985,
3,India,1800,168574895,1052,
4,Iran,1800,6269721,977,
5,Kuwait,1800,81280,1097,
6,Qatar,1800,14092,1097,
7,Russia,1800,31088398,1430,
8,Saudi Arabia,1800,2091000,846,
9,Singapore,1800,30000,1021,
10,United Arab Emirates,1800,40153,998,
11,United Kingdom,1800,12327466,3431,2.16208262103501
12,United States,1800,6801854,2128,0.037195741043545
13,Australia,1810,342440,834,
14,Bahrain,1810,64474,1289,
15,China,1810,350542958,985,
16,India,1810,171940819,1051,
17,Iran,1810,6413820,979,
18,Kuwait,1810,81280,1139,
19,Qatar,1810,14092,1139,
20,Russia,1810,31088398,1447,
21,Saudi Arabia,1810,2091000,852,
22,Singapore,1810,30000,1023,
23,United Arab Emirates,1810,40153,1036,
24,United Kingdom,1810,14106058,3575,2.38240813774517
25,United States,1810,8294928,2283,0.050732502080882
26,Australia,1820,334002,853,
27,Bahrain,1820,64474,1346,
28,China,1820,380055273,985,
29,India,1820,176225709,1050,
30,Iran,1820,6608508,980,
31,Kuwait,1820,81280,1182,
32,Qatar,1820,14092,1182,
33,Russia,1820,31861526,1464,
34,Saudi Arabia,1820,2103325,858,
35,Singapore,1820,31761,1024,
36,United Arab Emirates,1820,40153,1075,
37,United Kingdom,1820,16221883,3403,2.62930657143773
38,United States,1820,10361646,2242,0.079354662236699
39,Australia,1830,348143,1399,
40,Bahrain,1830,64474,1405,
41,China,1830,402373519,986,
42,India,1830,182214537,1052,
43,Iran,1830,6898130,999,
44,Kuwait,1830,81280,1228,
45,Qatar,1830,14092,1228,
46,Russia,1830,34134430,1562,0.000333906080991
47,Saudi Arabia,1830,2138414,868,
48,Singapore,1830,37232,1047,
49,United Arab Emirates,1830,40153,1116,
50,United Kingdom,1830,18533999,3661,3.65722387337779
51,United States,1830,13480460,2552,0.157851241292314
52,Australia,1840,434095,2269,
53,Bahrain,1840,64474,1467,
54,China,1840,411213424,986,
55,India,1840,189298397,1053,
56,Iran,1840,7250391,1018,
57,Kuwait,1840,81280,1274,
58,Qatar,1840,14092,1274,
59,Russia,1840,37420913,1666,
60,Saudi Arabia,1840,2186704,879,
61,Singapore,1840,45843,1071,
62,United Arab Emirates,1840,40153,1158,
63,United Kingdom,1840,20737251,4149,3.89430403559144
64,United States,1840,17942443,2792,0.336949371641876
65,Australia,1850,742619,3267,
66,Bahrain,1850,64474,1531,
67,China,1850,402711280,985,
68,India,1850,196657653,1055,
69,Iran,1850,7620641,1037,
70,Kuwait,1850,81280,1323,
71,Qatar,1850,14092,1323,
72,Russia,1850,41023821,1778,0.00172255288028
73,Saudi Arabia,1850,2236084,890,
74,Singapore,1850,56355,1095,
75,United Arab Emirates,1850,40153,1203,
76,United Kingdom,1850,22623571,4480,5.50516534946789
77,United States,1850,24136293,3059,0.840015700498765
78,Australia,1860,1256048,4795,0.210155857214681
79,Bahrain,1860,64469,1715,
80,China,1860,380047548,1023,
81,India,1860,204966302,1056,0.003482685118566
82,Iran,1860,7986219,1057,
83,Kuwait,1860,81014,1373,
84,Qatar,1860,14031,1373,
85,Russia,1860,44966686,1896,0.009376933982255
86,Saudi Arabia,1860,2284384,901,
87,Singapore,1860,69094,1120,
88,United Arab Emirates,1860,40222,1248,
89,United Kingdom,1860,24783522,5268,6.79186858351626
90,United States,1860,31936643,3714,1.49101670730825
91,Australia,1870,1724213,5431,0.338779342723005
92,Bahrain,1870,65422,1921,
93,China,1870,363661158,1099,
94,India,1870,213725049,1058,
95,Iran,1870,8397441,1077,
96,Kuwait,1870,81947,1426,
97,Qatar,1870,14177,1426,
98,Russia,1870,49288504,2023,0.04887000603113
99,Saudi Arabia,1870,2339375,912,
100,Singapore,1870,87515,1145,
101,United Arab Emirates,1870,40889,1296,
102,United Kingdom,1870,27651628,6046,8.30159131764366
103,United States,1870,40821569,4058,2.45254609582405
104,Australia,1880,2253007,7120,1.00470338340161
105,Bahrain,1880,68170,2152,
106,China,1880,365544192,1015,
107,India,1880,223020377,1084,0.00939800724932
108,Iran,1880,8879809,1153,
109,Kuwait,1880,85115,1648,
110,Qatar,1880,14709,1648,
111,Russia,1880,53996807,2158,0.161484573259061
