,State,Date,unemploymentRate,HousePriceIndex,Population
0,NSW,01/12/05,5.2937566,81.8,6718023
1,NSW,01/03/06,4.9787804,80.8,6735528
2,NSW,01/06/06,5.2884388,82.3,6742690
3,NSW,01/09/06,5.2007804,82.0,6766133
4,NSW,01/12/06,4.8116753,82.7,6786160
5,NSW,01/03/07,4.9570252,81.9,6815359
6,NSW,01/06/07,4.5740768,85.2,6834156
7,NSW,01/09/07,4.6551286,87.3,6859736
8,NSW,01/12/07,4.6471845,89.2,6883852
9,NSW,01/03/08,4.3379433,88.5,6919907
10,NSW,01/06/08,4.5651604,87.3,6943461
11,NSW,01/09/08,4.8824728,85.7,6972395
12,NSW,01/12/08,5.2473776,84.5,7001782
13,NSW,01/03/09,6.6907319,83.9,7032423
14,NSW,01/06/09,6.4042515,87.5,7053755
15,NSW,01/09/09,5.4768014,91.1,7079175
16,NSW,01/12/09,5.8463525,96.0,7101504
17,NSW,01/03/10,5.4910888,98.9,7128356
18,NSW,01/06/10,5.1868993,101.4,7144292
19,NSW,01/09/10,5.0596936,101.1,7162726
20,NSW,01/12/10,4.5829355,101.3,7179891
21,NSW,01/03/11,5.0546484,101.0,7204737
22,NSW,01/06/11,5.2417154,101.4,7218529
23,NSW,01/09/11,5.4708282,99.9,7240922
24,NSW,01/12/11,5.6030003,98.4,7261592
25,NSW,01/03/12,4.7000046,100.3,7288180
26,NSW,01/06/12,5.1979571,101.4,7307183
27,NSW,01/09/12,5.2735379,100.9,7330835
28,NSW,01/12/12,5.0884308,103.7,7356850
29,NSW,01/03/13,5.5067178,104.7,7386000
30,NSW,01/06/13,5.4448119,108.7,7407063
31,NSW,01/09/13,5.5719217,112.8,7434451
32,NSW,01/12/13,5.8602577,119.0,7459562
33,NSW,01/03/14,5.2563746,121.7,7492704
34,NSW,01/06/14,5.8135514,126.0,7513975
35,NSW,01/09/14,5.9365049,128.8,7542546
36,NSW,01/12/14,5.9584004,133.4,7563738
37,NSW,01/03/15,5.9355841,137.6,7593897
38,NSW,01/06/15,5.8452677,149.8,7618241
39,VIC,01/12/05,5.2600372,64.0,5023203
40,VIC,01/03/06,5.1129317,65.4,5048207
41,VIC,01/06/06,5.0215261,67.2,5061266
42,VIC,01/09/06,4.5791411,68.1,5083593
43,VIC,01/12/06,5.0034759,69.5,5103965
44,VIC,01/03/07,4.8282367,71.0,5134074
45,VIC,01/06/07,4.6276918,76.0,5153522
46,VIC,01/09/07,4.2902575,79.5,5178515
47,VIC,01/12/07,4.8624812,84.7,5199503
48,VIC,01/03/08,4.2475179,85.7,5233000
49,VIC,01/06/08,4.6396301,85.5,5256375
50,VIC,01/09/08,4.4341489,83.0,5286549
51,VIC,01/12/08,4.8336797,82.3,5313285
52,VIC,01/03/09,5.6624134,82.5,5347672
53,VIC,01/06/09,6.1442927,86.9,5371934
54,VIC,01/09/09,5.635636,92.5,5398874
55,VIC,01/12/09,5.4261254,98.6,5419249
56,VIC,01/03/10,5.4007665,103.3,5445172
57,VIC,01/06/10,5.5247765,106.2,5461101
58,VIC,01/09/10,5.1884405,104.3,5478710
59,VIC,01/12/10,4.9150919,105.7,5495711
60,VIC,01/03/11,4.3624183,104.7,5520378
61,VIC,01/06/11,4.6868478,103.5,5537817
62,VIC,01/09/11,5.3028148,101.3,5560503
63,VIC,01/12/11,5.2500095,100.0,5582670
64,VIC,01/03/12,5.7772566,99.4,5611981
65,VIC,01/06/12,5.5737495,99.3,5632521
66,VIC,01/09/12,5.590278,98.6,5656652
67,VIC,01/12/12,5.6848714,100.4,5680502
68,VIC,01/03/13,5.6666564,100.8,5710847
69,VIC,01/06/13,5.9769202,102.7,5733545
70,VIC,01/09/13,5.7776243,105.9,5761100
71,VIC,01/12/13,6.2537342,109.7,5784777
72,VIC,01/03/14,6.486031,110.7,5817241
73,VIC,01/06/14,6.635558,112.1,5838748
74,VIC,01/09/14,6.8189761,113.1,5865076
75,VIC,01/12/14,6.3908255,115.2,5885688
76,VIC,01/03/15,6.2301588,115.9,5914753
77,VIC,01/06/15,6.0555383,120.8,5938119
78,QLD,01/12/05,4.8636096,75.0,3964175
79,QLD,01/03/06,4.7051245,75.6,3987653
80,QLD,01/06/06,4.5002429,77.5,4007992
81,QLD,01/09/06,4.5389226,78.5,4031580
82,QLD,01/12/06,4.0897355,80.5,4055845
83,QLD,01/03/07,3.9685446,83.6,4084531
84,QLD,01/06/07,3.5687089,89.0,4111018
85,QLD,01/09/07,3.7408803,93.4,4134958
86,QLD,01/12/07,3.5554434,98.1,4159990
87,QLD,01/03/08,3.6192829,100.6,4191479
88,QLD,01/06/08,3.7451225,101.3,4219505
89,QLD,01/09/08,3.7008189,97.5,4247991
90,QLD,01/12/08,3.898647,95.8,4275551
91,QLD,01/03/09,4.8339029,96.0,4305605
92,QLD,01/06/09,5.5549664,98.8,4328771
93,QLD,01/09/09,6.1576552,102.1,4350135
94,QLD,01/12/09,5.7461134,105.3,4367454
95,QLD,01/03/10,5.512474,106.4,4387801
96,QLD,01/06/10,5.2500552,107.0,4404744
97,QLD,01/09/10,5.217379,105.3,4421470
98,QLD,01/12/10,5.8008504,105.0,4436882
99,QLD,01/03/11,5.506659,102.9,4457971
100,QLD,01/06/11,5.1757443,102.5,4476778
101,QLD,01/09/11,5.1709751,99.9,4498204
102,QLD,01/12/11,5.178884,100.2,4518605
103,QLD,01/03/12,5.5120018,100.0,4545421
104,QLD,01/06/12,5.1434381,99.9,4568205
105,QLD,01/09/12,6.1716812,100.8,4590528
106,QLD,01/12/12,6.1537876,101.7,4608886
107,QLD,01/03/13,5.8779892,101.9,4631968
108,QLD,01/06/13,6.2745263,103.2,4651359
109,QLD,01/09/13,5.7521746,104.5,4670132
110,QLD,01/12/13,6.0849255,107.1,4685080
111,QLD,01/03/14,6.0794738,108.5,4704807
112,QLD,01/06/14,6.2701014,110.5,4720471
113,QLD,01/09/14,6.3410462,111.0,4738220
114,QLD,01/12/14,6.2926848,112.3,4749636
115,QLD,01/03/15,6.5800565,112.7,4765942
116,QLD,01/06/15,5.994555,113.7,4779400
117,SA,01/12/05,4.8681805,71.6,1544852
118,SA,01/03/06,5.0350001,72.2,1550135
119,SA,01/06/06,4.7305127,73.4,1552529
120,SA,01/09/06,4.7728774,73.8,1557332
121,SA,01/12/06,5.4678791,75.7,1561300
122,SA,01/03/07,4.8715496,77.2,1567206
123,SA,01/06/07,5.0131035,81.9,1570619
124,SA,01/09/07,4.6450093,86.9,1574537
125,SA,01/12/07,4.8994916,91.9,1578489
126,SA,01/03/08,4.3942352,94.9,1584408
127,SA,01/06/08,4.8771285,93.8,1588665
128,SA,01/09/08,5.6205045,94.1,1593725
129,SA,01/12/08,5.3364276,93.6,1597880
130,SA,01/03/09,5.7862525,93.2,1604142
131,SA,01/06/09,5.5687386,95.8,1608902
132,SA,01/09/09,5.5831168,97.2,1614593
133,SA,01/12/09,5.2880499,101.1,1618578
134,SA,01/03/10,5.4259697,102.8,1624033
135,SA,01/06/10,5.4795358,104.7,1627322
136,SA,01/09/10,5.3822381,103.9,1630230
137,SA,01/12/10,5.4918736,104.8,1632482
138,SA,01/03/11,5.3578765,103.3,1636759
139,SA,01/06/11,5.0089316,101.0,1639614
140,SA,01/09/11,5.541522,100.4,1643275
141,SA,01/12/11,5.2870783,100.7,1646951
142,SA,01/03/12,5.2472525,99.3,1652270
143,SA,01/06/12,6.2388666,99.6,1656035
144,SA,01/09/12,5.5972513,99.2,1659335
145,SA,01/12/12,5.8348761,100.2,1662197
146,SA,01/03/13,5.9160424,99.8,1667036
147,SA,01/06/13,5.7357148,100.9,1670274
148,SA,01/09/13,5.8585154,101.3,1673991
149,SA,01/12/13,6.8940268,104.4,1676671
150,SA,01/03/14,7.2912052,105.4,1682307
151,SA,01/06/14,6.881681,105.6,1685484
152,SA,01/09/14,6.7389605,106.1,1688666
153,SA,01/12/14,6.6836658,107.3,1691591
154,SA,01/03/15,6.3971734,108.0,1696229
155,SA,01/06/15,7.9061597,108.5,1698594
156,WA,01/12/05,4.3264112,70.0,2029936
157,WA,01/03/06,3.9880636,75.6,2042450
158,WA,01/06/06,3.3512129,86.4,2050581
159,WA,01/09/06,3.3529644,95.1,2064032
160,WA,01/12/06,3.3396949,98.4,2076867
161,WA,01/03/07,2.7369735,99.0,2093633
162,WA,01/06/07,3.681227,97.7,2106139
163,WA,01/09/07,3.4664122,99.4,2120776
164,WA,01/12/07,3.3043521,100.6,2135006
165,WA,01/03/08,3.1462671,99.5,2155552
166,WA,01/06/08,3.1342039,97.6,2171700
167,WA,01/09/08,2.9058171,95.3,2191582
168,WA,01/12/08,3.026866,92.9,2208928
169,WA,01/03/09,4.8394151,92.5,2228317
170,WA,01/06/09,5.3817285,95.1,2240250
171,WA,01/09/09,5.6170659,97.6,2253355
172,WA,01/12/09,5.093774,103.5,2263747
173,WA,01/03/10,4.9088553,106.5,2278589
174,WA,01/06/10,4.0855757,106.6,2290845
175,WA,01/09/10,4.5037753,103.8,2305415
176,WA,01/12/10,4.3405364,103.9,2319063
177,WA,01/03/11,4.1585768,103.0,2337611
178,WA,01/06/11,4.2953263,100.2,2353409
179,WA,01/09/11,4.2775699,99.1,2372185
180,WA,01/12/11,4.203191,99.4,2391592
181,WA,01/03/12,3.9097511,100.5,2416516
182,WA,01/06/12,3.5446899,101.0,2437994
183,WA,01/09/12,4.0461866,102.1,2460341
184,WA,01/12/12,4.2881626,105.2,2479506
185,WA,01/03/13,4.7760151,107.5,2501046
186,WA,01/06/13,4.6922155,110.6,2515387
187,WA,01/09/13,4.5958678,110.7,2527564
188,WA,01/12/13,4.4613852,113.9,2536368
189,WA,01/03/14,4.9579076,114.8,2549527
190,WA,01/06/14,5.075388,114.8,2558372
191,WA,01/09/14,5.084462,114.5,2567004
192,WA,01/12/14,5.7629364,114.5,2574245
193,WA,01/03/15,5.6587991,114.4,2584875
194,WA,01/06/15,6.0031577,113.4,2591585
195,TAS,01/12/05,5.9625633,79.1,488098
196,TAS,01/03/06,6.608448,81.0,489140
197,TAS,01/06/06,6.669892,83.4,489302
198,TAS,01/09/06,6.6029782,84.6,490354
199,TAS,01/12/06,5.6553841,86.1,491515
200,TAS,01/03/07,5.2802861,88.5,492625
201,TAS,01/06/07,5.2770751,89.6,493262
202,TAS,01/09/07,5.0937561,92.3,494547
203,TAS,01/12/07,5.266236,96.0,495858
204,TAS,01/03/08,4.714129,93.9,497552
205,TAS,01/06/08,4.0894591,95.2,498568
206,TAS,01/09/08,3.9001263,93.3,500062
207,TAS,01/12/08,4.9660112,93.9,501774
208,TAS,01/03/09,4.407435,93.4,503431
209,TAS,01/06/09,4.4387756,96.4,504353
210,TAS,01/09/09,5.7607063,98.6,505468
211,TAS,01/12/09,5.445815,104.2,506461
212,TAS,01/03/10,5.6180742,105.9,508182
213,TAS,01/06/10,6.258165,103.6,508847
214,TAS,01/09/10,5.2822532,103.5,509481
215,TAS,01/12/10,5.1686788,106.6,510219
216,TAS,01/03/11,5.5013807,105.9,511248
217,TAS,01/06/11,5.1971057,102.9,511483
218,TAS,01/09/11,4.8063349,100.6,511915
219,TAS,01/12/11,6.393504,101.9,511944
220,TAS,01/03/12,6.8879612,99.4,512259
221,TAS,01/06/12,7.0000201,98.2,512106
222,TAS,01/09/12,7.293398,98.1,512149
223,TAS,01/12/12,7.3685749,98.4,512475
